SampleID,Ecotype,Location,Type,Location2,PR,pH,Ecotype2,pHPR,Sobs,Shannon,Faith
MS1-P1-R,Wet,MS1-R,Rhizobiome,MS1,17.3,5.8,Wet-R,2.982758621,861,9.301617465,87.17595714
MS1-P2-R,Wet,MS1-R,Rhizobiome,MS1,17.3,5.8,Wet-R,2.982758621,826,9.208364657,83.65928243
MS1-P3-R,Wet,MS1-R,Rhizobiome,MS1,17.3,5.8,Wet-R,2.982758621,803,9.219096245,81.69440508
MS1-P4-R,Wet,MS1-R,Rhizobiome,MS1,17.3,5.8,Wet-R,2.982758621,833,9.219572064,82.85936556
MS1-P5-R,Wet,MS1-R,Rhizobiome,MS1,17.3,5.8,Wet-R,2.982758621,701,8.986777744,74.31497678
MS1-P6-R,Wet,MS1-R,Rhizobiome,MS1,17.3,5.8,Wet-R,2.982758621,945,9.444096686,91.6167805
MT1-P1-R,Dry,MT1-R,Rhizobiome,MT1,7.08,7.5,Dry-R,0.944,614,8.773697646,56.46670097
MT1-P2-R,Dry,MT1-R,Rhizobiome,MT1,7.08,7.5,Dry-R,0.944,671,8.884223303,68.5015338
MT1-P3-R,Dry,MT1-R,Rhizobiome,MT1,7.08,7.5,Dry-R,0.944,690,8.926159553,73.91421381
MT1-P4-R,Dry,MT1-R,Rhizobiome,MT1,7.08,7.5,Dry-R,0.944,601,8.694291634,65.55739595
MT1-P5-R,Dry,MT1-R,Rhizobiome,MT1,7.08,7.5,Dry-R,0.944,917,9.411896938,82.84070077
