ASV,Comparison,t_stat,p_value,Log2_Fold_Change
Sumerlaeota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Sumerlaeota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Sumerlaeota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Sumerlaeota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Sva0485,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Sva0485,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Sva0485,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Sva0485,Wet-Soil vs. Dry-Soil,NA,NA,NA
Sva0485,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Synergistota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Synergistota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Synergistota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Synergistota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Synergistota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Thermoplasmatota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Thermoplasmatota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Thermoplasmatota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Thermoplasmatota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Verrucomicrobiota,Wet-Soil vs. Dry-Soil,NA,NA,-1.932026002
WPS-2,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
WPS-2,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
WPS-2,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
WPS-2,Wet-Soil vs. Dry-Soil,NA,NA,NA
WPS-2,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
WS1,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
WS1,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
WS1,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
WS1,Wet-Soil vs. Dry-Soil,NA,NA,NA
WS1,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
WS2,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
WS2,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
WS2,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
WS2,Wet-Soil vs. Dry-Soil,NA,NA,NA
WS2,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
WS4,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
WS4,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
WS4,Wet-Soil vs. Dry-Soil,NA,NA,NA
WS4,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Zixibacteria,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Zixibacteria,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Zixibacteria,Wet-Soil vs. Dry-Soil,NA,NA,NA
Zixibacteria,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
